"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 18 17:01:12 UTC 2026","Wed Mar 18 17:01:12 UTC 2026","383","api","api/appointments/crud.spec.ts","API — Appointments: CRUD","","","list appointments returns paginated response",""
"passed","Wed Mar 18 17:01:47 UTC 2026","Wed Mar 18 17:01:49 UTC 2026","2186","chromium","ui/appointments/manage.spec.ts","UI — Appointments: Doctor actions","","","doctor can confirm a pending appointment",""
"passed","Wed Mar 18 17:01:14 UTC 2026","Wed Mar 18 17:01:14 UTC 2026","315","api","api/users/users.spec.ts","API — Users","","","@smoke GET /users/me returns current user",""
"passed","Wed Mar 18 17:01:13 UTC 2026","Wed Mar 18 17:01:14 UTC 2026","331","api","api/doctors/doctors.spec.ts","API — Doctors","","","@smoke list doctors returns paginated response",""
"passed","Wed Mar 18 17:01:13 UTC 2026","Wed Mar 18 17:01:13 UTC 2026","355","api","api/auth/register.spec.ts","API — Auth: Register","","","register with duplicate email returns 409",""
"passed","Wed Mar 18 17:01:45 UTC 2026","Wed Mar 18 17:01:47 UTC 2026","2025","chromium","ui/appointments/book.spec.ts","UI — Appointments: Booking","","","patient can cancel a pending appointment",""
"passed","Wed Mar 18 17:01:13 UTC 2026","Wed Mar 18 17:01:13 UTC 2026","36","api","api/auth/register.spec.ts","API — Auth: Register","","","register with missing required field returns 422",""
"passed","Wed Mar 18 17:01:57 UTC 2026","Wed Mar 18 17:02:00 UTC 2026","3369","webkit","ui/auth/login.spec.ts","UI — Auth: Login","","","@smoke valid login redirects to dashboard",""
"passed","Wed Mar 18 17:01:12 UTC 2026","Wed Mar 18 17:01:12 UTC 2026","660","api","api/appointments/crud.spec.ts","API — Appointments: CRUD","","","delete appointment then get returns 404",""
"passed","Wed Mar 18 17:01:53 UTC 2026","Wed Mar 18 17:01:53 UTC 2026","416","setup","auth.setup.ts","","","","authenticate as admin",""
"passed","Wed Mar 18 17:01:13 UTC 2026","Wed Mar 18 17:01:14 UTC 2026","594","api","api/auth/register.spec.ts","API — Auth: Login","","","@smoke login returns JWT with correct structure",""
"passed","Wed Mar 18 17:01:11 UTC 2026","Wed Mar 18 17:01:12 UTC 2026","921","api","api/appointments/crud.spec.ts","API — Appointments: CRUD","","","update appointment notes",""
"passed","Wed Mar 18 17:02:03 UTC 2026","Wed Mar 18 17:02:06 UTC 2026","3146","webkit","ui/doctors/doctors.spec.ts","UI — Doctors","","","@smoke doctor listing page loads with doctor cards",""
